TURRTNT_FIX_INTTRTST_ARTA_LABTL	TURRTNT_FIX_START	TURRTNT_FIX_TND	取点	占比				
T	353	496					10	0
T	521	650	0				20	0
T	702	840	0				30	0
T	865	1136	0				40	0
T	1194	1339	0				50	0
T	1377	1534	0				60	0
T	1569	1593	0				70	0
T	1642	1808	0				80	0
T	1838	1999	0				90	0
O	2079	2515	0				100	0
T	2560	2740	0				110	0
T	2759	2909	0				120	0
T	2951	3206	0				130	0
T	3237	3550	0				140	0
O	3594	3776	0				150	0
T	3837	4150	0				160	0
T	4173	4476	0				170	0
T	4519	4692	0				180	0
O	4749	5025	0				190	0
O	5068	5235	0				200	0
O	5288	5542	0				210	0
O	5571	5913	0				220	0
O	5947	6157	0				230	0
T	7082	7246	0				240	0
T	7599	8040	0				250	0
T	8053	8098	0				260	0
O	7	283	1				270	1
T	680	1273	0				280	0
O	1333	1558	0				290	0
O	1589	1764	0				300	0
O	1807	2032	0				310	0
T	2079	2238	0				320	0
O	2270	2617	0				330	0
O	2658	2973	0				340	0
O	4373	4558	0				350	0
O	4580	4732	0				360	0
O	4765	5187	0				370	0
O	5230	5464	0				380	0
T	5712	5887	0				390	0
O	5944	6158	0				400	0
O	6200	6384	0				410	0
O	6436	6590	0				420	0
T	6635	7161	0				430	0
T	7207	7353	0				440	0
T	7372	7725	0				450	0
O	7762	8047	0				460	0
T	7	292	0				470	0
T	315	601	1				480	1
T	626	1101	0				490	0
T	1144	1232	0				500	0
O	1275	1470	0				510	0
O	1498	1727	0				520	0
O	1774	2472	0				530	0
O	2514	3302	0				540	0
O	3342	3543	0				550	0
O	3565	3893	0				560	0
O	3947	4128	0				570	0
O	4152	4346	0				580	0
O	5225	5470	0				590	0
O	5510	5788	0				600	0
O	5814	6031	0				610	0
O	6060	6445	0				620	0
O	6456	6833	0				630	0
O	6878	7181	0				640	0
O	7207	7523	0				650	0
O	7548	7777	0				660	0
O	7799	7980	0				670	0
O	8030	8091	0				680	0
O	316	602	0				690	0
O	622	775					700	1
T	822	1250					710	0
T	1274	1412					720	0
T	1456	1704					730	0
O	1747	1960					740	0
O	2010	2179					750	0
O	2202	2525					760	0
O	2555	2822					770	0
O	2877	3326					780	0
O	3379	3596					790	0
O	3653	4076					800	0
O	4117	4338					810	0
O	4386	4571					820	0
O	4596	4723					830	0
O	4772	5227					840	0
O	5271	5524					850	0
O	5549	5934					860	0
O	5970	6067					870	0
O	6338	6546					880	0
O	6588	6782					890	0
O	6842	7068					900	0
O	7128	7415					910	0
O	7451	7773					920	0
O	7797	8022					930	0
O	7	230					940	0
O	254	456					950	0
T	482	658					960	0
T	705	1118					970	1
T	1164	1310					980	0
O	1564	1713					990	0
T	2641	2818					1000	0
T	2853	2993					1010	0
T	3020	3155					1020	0
T	3208	3377					1030	0
T	3400	3678					1040	0
T	3715	4034					1050	0
T	4078	4220					1060	0
T	4256	4706					1070	0
T	4728	5035					1080	0
T	5320	5525					1090	0
T	5541	5940					1100	0
O	6007	6229					1110	0
