RECORDING_SESSION_LABEL,TRIAL_INDEX,CURRENT_FIX_INTEREST_AREA_LABEL,CURRENT_FIX_START,CURRENT_FIX_END,CURRENT_FIX_INTEREST_AREA_DWELL_TIME
S02,1,.,7,341,.
S02,1,C,390,622,2307
S02,1,C,669,811,2081
S02,1,C,875,1356,2307
S02,1,C,1374,2044,2307
S02,1,C,2103,2683,2081
S02,1,C,2732,2987,2081
S02,1,O,3039,3175,332
S02,1,.,3224,3409,.
S02,1,O,3454,3603,150
S02,1,C,3643,3911,2081
S02,1,C,3926,4229,2081
S02,1,C,4303,4845,2307
S02,1,.,5103,5332,.
S02,1,O,5384,5578,332
S02,1,C,5613,6184,572
S02,1,C,6248,6625,2307
S02,1,O,6704,6969,266
S02,1,.,6997,7273,.
S02,1,C,7323,7385,2081
S02,1,C,7612,8076,2081
S02,2,O,7,409,876
S02,2,O,444,628,185
S02,2,O,649,829,3773
S02,2,O,865,4111,3773
S02,2,.,4342,4552,.
S02,2,C,4575,4936,362
S02,2,O,4986,5321,336
S02,2,O,5358,5830,876
S02,2,O,6042,7703,1662
S02,2,O,7744,8088,3773
S02,3,O,7,638,632
S02,3,E,683,1101,7191
S02,3,E,1133,5777,7191
S02,3,E,5965,8091,7191
S02,4,C,7,375,5943
S02,4,C,391,505,5943
S02,4,C,552,1177,5943
S02,4,C,1191,1834,5943
S02,4,C,1847,2200,5943
S02,4,C,2222,2426,5943
S02,4,C,2467,2658,5943
S02,4,C,2705,2795,5943
S02,4,C,3061,3224,5943
S02,4,C,3245,3432,5943
S02,4,C,3473,3694,5943
S02,4,C,3739,4234,5943
S02,4,O,4279,4574,546
S02,4,C,4618,5092,5943
S02,4,C,5143,5316,5943
S02,4,C,5347,5829,5943
S02,4,C,5849,6161,5943
S02,4,C,6177,6501,5943
S02,4,O,6798,7047,546
S02,4,C,7119,7210,5943
S02,4,O,7253,7401,309
S02,4,C,7453,7637,5943
S02,4,C,7666,7895,5943
S02,4,O,7947,8106,309
S02,5,.,7,344,.
S02,5,E,398,545,1236
S02,5,E,580,821,1937
S02,5,E,840,1100,1937
S02,5,E,1125,1464,1937
S02,5,E,1476,2030,1937
S02,5,E,2050,2349,1937
S02,5,E,2375,2613,1937
S02,5,E,2690,2899,210
S02,5,.,2956,3190,.
S02,5,E,3240,3664,1236
S02,5,.,3709,3906,.
S02,5,C,4241,4448,840
S02,5,.,4469,4672,.
S02,5,C,4693,4897,205
S02,5,C,4931,5562,840
S02,5,.,5695,5863,.
S02,5,.,5925,6183,.
S02,5,.,6256,6714,.
S02,5,E,6778,6962,1236
S02,5,E,6978,7177,1236
S02,5,E,7196,7354,1236
S02,5,C,7399,7700,302
S02,5,E,7920,8038,1236
S02,6,E,7,312,2968
S02,6,E,330,452,2968
S02,6,C,512,1103,1002
S02,6,E,1163,1541,2968
S02,6,E,1579,2058,2968
S02,6,E,2073,2305,2968
